                                                  text  Sentiment
774  when you meet tonight please tell him my story...          0
775                            castro is not at thanks          1
776                           hope you get better soon          0
777                                         i just saw          0
778  bliz i slept late too i wonder y u did mhmm i ...          0
779                                          which one          0
780  ahhhhhh bloody five why did they give away hou...          0
781                               is upset with me lol          0
782  well praise the lord gud moods i kno i need b ...          1
783  sending my tweets from wrong account although ...          0
784  aw sweet leslie was tweeting luv last night yo...          1
785  big ass kool aid smile on my face from talkin ...          1
786                         bleh i feel like qqing now          0
787                                 blowdrying my hair          1
788                                        boo to that          0
789  bored doing nothing at all okay i m a pretty s...          1
790                    boredddd going to do powerpoint          1
791  boring nite damn i guess i better get use to this          0
792           boro let me down it s getting very tight          0
793         bosco graduation then sara s voice recital          1
794                              breakfast with family          1
795  britains got talent on right now good luck sus...          1
796  bummed to be missing bb kris s comcast chat st...          0
797          burnt tongue hot chocolate has a downside          0
798          but eatting popcorn so its getting better          0
799        but i don t want a boyfriend for the summer          0
800                               but i love you aaron          0
801  but not him he s just a brown nose telling her...          0
802  but suddenly something happens i write it in p...          1
803  can first see mtv movie awards on thursday how...          0
804                           can i join you karenwild          0
805  canon powershot s you had served me very well ...          0
806  cant afford to see angels and demons so i watc...          0
807  can t get motivated it might b the sunday cryi...          0
808  cant get up to auckland to watch jb d movie im...          0
809  can t log into my computer at work ack got lot...          0
810  can t make any labels til my computer is fixed...          0
811  can t sleep this sucks eggs and bacon i m supp...          0
812  can t sleep so damn miserable i m sooooo itchy...          0
813                can t wait for hills finale tonight          1
814        can t wait for the weekend bmth on saturday          1
815  carrie has a bad eye infection just waiting fo...          0
816            cba i m revising my french oral fuck it          0
817  certification test at this morning feeling muc...          1
818  changin my name to ambergirl haha my youtube n...          1
819           chilling with my niggahz haley and dylan          1
820  chocolate cake with a delicious strawberry yum...          1
821  church with matt was good i think i m going to...          1
822                               city tonight for mae          1
823                  cnt even use a single twitter app          0
824  cold despite the heater weirdly though it s no...          0
825  come on bitchesss barakatday barakatday baraka...          0
826                                         come party          0
827  come to manchester while your in england id lo...          1
828  coming up to the home stretch now with this j ...          1
829  computer is being very tempermental at the moment          0
830  congrats to al s newest state senator elect de...          1
831       content made a pac lets see how long it last          1
832                             cookies the first time          1
833                      could this night be any worse          0
834                                   couldn t find it          0
835                                  cramps drugs good          0
836                       crap day tat will get craper          0
837                      credit card bill ow my wallet          0
838  dad came back asked us to go to anyer till thu...          0
839                dads got to turn the power off caio          0
840   dammit no more sleep for me and on my day off to          0
841  damn gettin it from someone right now damn i g...          0
842  damn u still haven t been to sleep and just lo...          0
843  damn didnt make on time and the border was clo...          0
844  damn lost three followers i was getting so clo...          0
845  damn there has to be something wrong and its n...          0
846                 dan won t have off for my birthday          0
847                 darn you city i just want to leave          0
848  def i have no studio so ur jus gunna get the l...          1
849                                 definately bedtime          0
850           definately just missed my train smh fuck          0
851                                 depressing day tfp          0
852  devstateddd my silly iphone deleted all my jai...          0
853  did not get to go see up oh well ended up goin...          0
854  didn t get much sleep again cos of the flippin...          0
855  didn t get to do some car scheming tonight sad...          0
856  didn t go out last night i fell asleep i suck ...          0
857  didn t have time updating because was busy enj...          1
858  didn t think netball was on coz it was raining...          0
859                 didn t win the twitter contest boo          0
860  dinara lost again in roland garros why the saf...          0
861                            dinner bath workout run          1
862  diplomatic husband to his wife how do u expect...          1
863                                       dissapointed          0
864  does anybody know the statistics homework not ...          0
865              doesn t know what to get fir a tattoo          0
866                              dont feel good ptosis          0
867                         don t forget to vote today          1
868  don t ignore the smell of sizzling skin when y...          0
869                      dont know whats wrong with me          0
870  don t like ending the night arguing with the h...          0
871                             don t wanna go to work          0
872  tweetwrath i think i just coined a new word wh...          1
873  you guys have fun last night i hope you got my...          0
874                                                NaN          1
875  i know but i ll miss having someone to bitch a...          0
876  class no answer no lyfe work etj on the road n...          0
877  me funny fact has about x his town s populatio...          1
878  am gonna miss you too if it s really gonna be ...          1
879  guess that s the end of my love affair with em...          0
880                                        in grantham          1
881                        is taking me to lunch today          1
882                                            am delo          0
883  too busy to see me in london this evening what...          0
884                        is never on twitter anymore          0
885                                               lmao          1
886  twitter maintenance on a friday night they rea...          1
887  are you a exe do er ppt talk er or txt leafy p...          1
888                     trent reznor quits twitter via          0
889  would love to meet up with yourself and but i ...          0
890                that s a lovely compliment thx much          1
891                                           thankyou          1
892  update sb fwy x th st correction dead female n...          0
893  kstew and ma still together happy or not lol i...          0
894                            oh no isn t a good link          0
895  if the front wasn t black on both i would have...          0
896  the full voice control is making me want iphon...          0
897  thickness don t do dat jst tell em suck ur dyc...          0
898               awesome th quarter ladies great game          1
899                            is messing with my mind          0
900                                 quite the opposite          1
901                      night and thanks for the call          1
902                              it makes me wanna cry          0
903  no i do know the difference like i say it s be...          1
904                  thank you i am genuinely grateful          1
905  so pretty much you look like a candy floss mac...          1
906  posterous looks like tumblr for iphone looks i...          1
907                          dont wanna leave ny today          0
908  dont worry about the for amigos there still ha...          0
909                                 down to k in chips          0
910  downloaded one movie yesterday and having some...          0
911  driving lizzie to the airport say good bye lizzie          0
912            dt tonight dt tomorrow day night beauty          1
913  dude i almost just shocked myself lesson learn...          0
914  eaten some steak im feeling good much better m...          0
915                           eating my last wizz fizz          0
916  ecl all day to try to cram all of this organic...          0
917                    eff that bitch at dunkin donuts          0
918                     elise and melanie are the shiz          1
919  ellie just text me saying theyre not gona read...          0
920                                          emotional          0
921  everton f c just got beat in the finals of the...          0
922                                everton oh well lol          0
923                                  every fucking day          0
924  every one i was talking to on msn has gone off...          0
925  every so often i catch my own reflection think...          1
926  every time i leave my room i miss bubu sending...          0
927                             everyones drunk but me          0
928               everyones dying or bordeirlne on svu          0
929                                         exams help          0
930                              expensive car repairs          0
931                                    explore twitter          1
932                                    f ing red wings          0
933  failed inspection did you know you can pass wo...          0
934    failing at everything i should just give up now          0
935        famed michigan bookstore to close its doors          1
936  famliy going bck homee and have too take siste...          0
937                   farrah fawcett dies of cancer at          0
938                                          fcukk you          0
939        fedex will be kicked out of the french open          0
940                            feelin very pessimistic          0
941                                feeling a litle sad          0
942                     feeling all sad leaving mumbai          0
943  feeling down reality is setting in i know i sh...          0
944                      feels bad for cali poor thing          0
945                    female model tortured by prince          0
946                ferrets are much cooler than fishes          0
947                       field trip today leaving now          1
948  finally at home bout to napp then get ready fo...          1
949  finally managed to check the euromillions resu...          0
950  finding out the hollywood video i frequent is ...          0
951  hope you had fun with lisa the jillian replace...          0
952  i missed all imma call u tomorrow and reduce t...          0
953              followfriday these ppl or catch crabs          1
954  it s light with a bit of punch mission san fra...          1
955  death i am super emo about stupid stuff rn and...          1
956                          giants bullpen loses lead          0
957      if anyone else said something it s to you too          1
958  galaxy i mean we have the best religion the on...          0
959  bows out of the raid dunn his back inn speedy ...          0
960                                            yeahuhh          1
961  is having the worse day ever boss is spazzing ...          0
962      just called me a cheeseburglar he made me sad          0
963  didnt win the first award she was nominated fo...          0
964  says crush the commies sad my grandfather rip ...          0
965  well none of us are getting out of here alive ...          0
966  prodigy and in boston day boo roll on summer a...          0
967  sorry got carried away with gossip on another ...          0
968  i have no office i know this is hard to believ...          0
969                                               lmao          1
970  hi when ur back when ur next in mk i am gona n...          0
971  lost my groups and thats not a good thing with...          0
972  guardian uk students reported killed in crackd...          0
973  galaxy but so badly no one does i know that th...          0
974  just said on flickr re a mac that wouldn t ins...          1
975                                   cheer up emo kid          0
976                                   lvatt is comming          1
977                                      next few days          0
978                                       happy sunday          1
979        dinger in and i so regret popping that pill          0
980  month of bed by am already failing as you can see          0
981  days i haven t tlkd mi amor im kinda stubborn ...          0
982  hear about jon n kate couples should steer cle...          0
983        ncaa national softball champions uw huskies          1
984  nd item did not arrive am still waiting for it...          0
985                          finished my paper but smh          0
986  first days are always good wish my dentist gav...          1
987              fone off cant talk my love imu marcus          0
988  for the fact that i didn t get any work done n...          0
989  forgot xbl was off today was about to check to...          0
990  found a mosquito bite those tend to get really...          0
991         found a way to make this private woot woot          1
992  four more fake people added me is this why peo...          0
993        frank iero should be the sexiest vegetarian          0
994                                     french lost fb          0
995                 fuck man i hate this o work suckss          0
996                                           fuck you          0
997        fuck my money is running out i have no jobs          0
998                           fuck i am an ugly person          0
999                                    fucking rur mom          1
